co1_1,co1_2,co2a_1,co2a_2,co2a_3,co2b_1,co2b_2,co2b_3
wPLI,POW,0.377811094452774,0.528935532233883,0,-0.151041666666667,0.0416666666666667,0
wSMI,POW,0.831584207896052,0.873163418290855,0,-0.0729166666666666,0.104166666666667,0
POW+wPLI,POW,0.0609695152423788,0.149258703981343,0,0,0.145833333333333,0
POW+wSMI,POW,0.0419790104947526,0.125937031484258,0,0.0104166666666666,0.145833333333333,1
wPLI+wSMI,POW,0.655672163918041,0.72469028643573,0,-0.0625000000000001,0.114583333333333,0
POW+wPLI+wSMI,POW,0.00599700149925037,0.0419790104947526,1,0.03125,0.177083333333333,1
wSMI,wPLI,0.228885557221389,0.369738207819167,0,-0.0416666666666665,0.15625,0
POW+wPLI,wPLI,0.000999500249875062,0.0104947526236882,1,0.0520833333333333,0.21875,1
POW+wSMI,wPLI,0.00999500249875063,0.0524737631184408,0,0.0416666666666666,0.239583333333333,1
wPLI+wSMI,wPLI,0.0849575212393803,0.178410794602699,0,-0.0104166666666665,0.177083333333333,0
POW+wPLI+wSMI,wPLI,0.000999500249875062,0.0104947526236882,1,0.0833333333333334,0.25,1
POW+wPLI,wSMI,0.144927536231884,0.276679841897233,0,-0.0208333333333333,0.15625,0
POW+wSMI,wSMI,0.063968015992004,0.149258703981343,0,0,0.145833333333333,0
wPLI+wSMI,wSMI,0.654672663668166,0.72469028643573,0,-0.0416666666666667,0.09375,0
POW+wPLI+wSMI,wSMI,0.0169915042478761,0.0713643178410795,0,0.0312499999999999,0.177083333333333,1
POW+wSMI,POW+wPLI,1,1,0,-0.0729166666666666,0.0729166666666667,0
wPLI+wSMI,POW+wPLI,0.293853073463268,0.440779610194903,0,-0.135416666666667,0.0416666666666666,0
POW+wPLI+wSMI,POW+wPLI,0.437781109445277,0.546961813211042,0,-0.03125,0.0833333333333334,0
wPLI+wSMI,POW+wSMI,0.213893053473263,0.369738207819167,0,-0.135416666666667,0.0208333333333334,0
POW+wPLI+wSMI,POW+wSMI,0.442778610694653,0.546961813211042,0,-0.03125,0.0937500000000001,0
POW+wPLI+wSMI,wPLI+wSMI,0.0389805097451274,0.125937031484258,0,0.0104166666666665,0.145833333333333,1
