co1_1,co1_2,co2a_1,co2a_2,co2a_3,co2b_1,co2b_2,co2b_3
wPLI,POW,0.0359820089955022,0.181909045477261,0,-0.28125,-0.0208333333333333,1
wSMI,POW,0.819590204897551,1,0,-0.125,0.0833333333333334,0
POW+wPLI,POW,1,1,0,0,0,0
POW+wSMI,POW,1,1,0,-0.0625,0.0833333333333334,0
wPLI+wSMI,POW,0.819590204897551,1,0,-0.125,0.0833333333333334,0
POW+wPLI+wSMI,POW,1,1,0,-0.0625,0.0833333333333334,0
wSMI,wPLI,0.0519740129935032,0.181909045477261,0,0,0.25,0
POW+wPLI,wPLI,0.031984007996002,0.181909045477261,0,0.0208333333333334,0.291666666666667,1
POW+wSMI,wPLI,0.0189905047476262,0.181909045477261,0,0.0416666666666665,0.291666666666667,1
wPLI+wSMI,wPLI,0.0519740129935032,0.181909045477261,0,0,0.25,0
POW+wPLI+wSMI,wPLI,0.0189905047476262,0.181909045477261,0,0.0416666666666665,0.291666666666667,1
POW+wPLI,wSMI,0.310844577711144,0.652773613193403,0,-0.0416666666666667,0.145833333333333,0
POW+wSMI,wSMI,0.222888555722139,0.520073296684991,0,-0.0208333333333334,0.145833333333333,0
wPLI+wSMI,wSMI,1,1,0,0,0,0
POW+wPLI+wSMI,wSMI,0.222888555722139,0.520073296684991,0,-0.0208333333333334,0.145833333333333,0
POW+wSMI,POW+wPLI,1,1,0,-0.0625,0.0833333333333334,0
wPLI+wSMI,POW+wPLI,0.819590204897551,1,0,-0.125,0.0833333333333334,0
POW+wPLI+wSMI,POW+wPLI,1,1,0,-0.0625,0.0833333333333334,0
wPLI+wSMI,POW+wSMI,0.819590204897551,1,0,-0.125,0.0833333333333334,0
POW+wPLI+wSMI,POW+wSMI,1,1,0,0,0,0
POW+wPLI+wSMI,wPLI+wSMI,0.222888555722139,0.520073296684991,0,-0.0208333333333334,0.145833333333333,0
